Run,Start,Finish
2033,2022-10-17 20:00,2022-10-17 20:17
2035,2022-10-17 20:53,2022-10-17 21:02
2036,2022-10-17 21:26,2022-10-17 21:46
2037,2022-10-17 21:58,2022-10-17 22:33
2038,2022-10-17 23:19,2022-10-18 00:48
2039,2022-10-18 01:03,2022-10-18 01:25
2040,2022-10-18 01:41,2022-10-18 02:45
2042,2022-10-18 03:38,2022-10-18 04:17
2045,2022-10-18 04:41,2022-10-18 05:40
2046,2022-10-18 05:51,2022-10-18 06:00
2047,2022-10-18 06:07,2022-10-18 06:53
2053,2022-10-18 07:59,2022-10-18 08:29
2054,2022-10-18 09:13,2022-10-18 09:46
2062,2022-10-18 14:29,2022-10-18 15:38
2080,2022-10-19 03:44,2022-10-19 04:20
2081,2022-10-19 04:23,2022-10-19 04:44
2082,2022-10-19 04:58,2022-10-19 05:17
2083,2022-10-19 05:23,2022-10-19 05:46
2084,2022-10-19 05:51,2022-10-19 06:27
2085,2022-10-19 07:10,2022-10-19 07:26
2125,2022-10-21 03:56,2022-10-21 04:58
2126,2022-10-21 05:01,2022-10-21 05:37
2127,2022-10-21 05:42,2022-10-21 06:16
2128,2022-10-21 06:28,2022-10-21 06:45
2131,2022-10-21 07:05,2022-10-21 07:13
2132,2022-10-21 07:17,2022-10-21 08:14
2133,2022-10-21 08:20,2022-10-21 09:15
2134,2022-10-21 09:27,2022-10-21 10:26
2136,2022-10-21 10:48,2022-10-21 11:44
2137,2022-10-21 12:00,2022-10-21 12:51
2138,2022-10-21 13:04,2022-10-21 13:16
2141,2022-10-21 13:34,2022-10-21 13:49
2143,2022-10-21 14:04,2022-10-21 14:10
2145,2022-10-21 14:25,2022-10-21 15:04
2146,2022-10-21 15:20,2022-10-21 15:42
2149,2022-10-21 16:07,2022-10-21 16:37
2164,2022-10-22 00:56,2022-10-22 01:10
2165,2022-10-22 02:15,2022-10-22 02:36
2168,2022-10-22 02:57,2022-10-22 03:08
2169,2022-10-22 04:37,2022-10-22 04:42
2170,2022-10-22 04:44,2022-10-22 04:59
2171,2022-10-22 06:02,2022-10-22 06:12
2172,2022-10-22 06:48,2022-10-22 07:02
2173,2022-10-22 09:15,2022-10-22 09:47
2174,2022-10-22 10:38,2022-10-22 11:06
2175,2022-10-22 11:45,2022-10-22 11:56
2176,2022-10-22 12:55,2022-10-22 13:11
2199,2022-10-24 07:39,2022-10-24 08:16
2200,2022-10-24 08:45,2022-10-24 09:29
2201,2022-10-24 09:54,2022-10-24 10:12
2203,2022-10-24 10:23,2022-10-24 11:09
2204,2022-10-24 11:26,2022-10-24 12:01
2206,2022-10-24 12:29,2022-10-24 13:26
2208,2022-10-24 13:54,2022-10-24 14:35
2209,2022-10-24 15:30,2022-10-24 16:27
2210,2022-10-24 16:56,2022-10-24 17:34
2211,2022-10-24 18:08,2022-10-24 18:12
2212,2022-10-24 18:18,2022-10-24 18:50
2213,2022-10-24 19:52,2022-10-24 20:33
2214,2022-10-24 21:01,2022-10-24 21:45
2215,2022-10-24 22:15,2022-10-24 22:37
2216,2022-10-24 22:48,2022-10-24 23:26
2217,2022-10-25 00:10,2022-10-25 00:41
2218,2022-10-25 01:15,2022-10-25 01:18
2219,2022-10-25 01:34,2022-10-25 02:18
2220,2022-10-25 03:28,2022-10-25 04:00
2221,2022-10-25 06:27,2022-10-25 07:16
2222,2022-10-25 07:39,2022-10-25 08:20
2223,2022-10-25 08:47,2022-10-25 09:35
2224,2022-10-25 09:49,2022-10-25 10:25
2225,2022-10-25 11:28,2022-10-25 12:21
2226,2022-10-25 12:40,2022-10-25 13:21
2227,2022-10-25 13:57,2022-10-25 14:11
2228,2022-10-25 15:19,2022-10-25 16:05
2229,2022-10-25 17:19,2022-10-25 17:57
2230,2022-10-25 18:54,2022-10-25 19:32
2231,2022-10-25 20:00,2022-10-25 20:42
2232,2022-10-25 21:04,2022-10-25 21:41
2233,2022-10-25 22:10,2022-10-25 22:47
2234,2022-10-25 23:12,2022-10-25 23:47
2235,2022-10-26 00:27,2022-10-26 00:52
2236,2022-10-26 01:09,2022-10-26 01:49
2237,2022-10-26 02:19,2022-10-26 02:50
2238,2022-10-26 03:36,2022-10-26 04:27
2239,2022-10-26 05:01,2022-10-26 05:41
2240,2022-10-26 06:16,2022-10-26 07:08
2241,2022-10-26 07:20,2022-10-26 07:57
2242,2022-10-26 08:22,2022-10-26 08:58
2243,2022-10-26 09:24,2022-10-26 09:49
2244,2022-10-26 10:28,2022-10-26 10:56
2245,2022-10-26 11:29,2022-10-26 12:22
2246,2022-10-26 12:30,2022-10-26 13:01
2247,2022-10-26 13:32,2022-10-26 13:40
2248,2022-10-26 14:32,2022-10-26 15:11
2250,2022-10-26 16:29,2022-10-26 17:07
2251,2022-10-26 17:17,2022-10-26 17:18
2252,2022-10-26 17:28,2022-10-26 18:08
2253,2022-10-26 18:41,2022-10-26 19:23
2254,2022-10-26 21:31,2022-10-26 22:09
2255,2022-10-26 22:31,2022-10-26 23:13
2256,2022-10-26 23:40,2022-10-27 00:10
2257,2022-10-27 00:45,2022-10-27 01:28
2258,2022-10-27 05:12,2022-10-27 05:52
2259,2022-10-27 06:16,2022-10-27 06:55
2260,2022-10-27 07:17,2022-10-27 07:45
2275,2022-10-27 20:09,2022-10-27 20:25
2276,2022-10-27 21:20,2022-10-27 22:45
2302,2022-10-29 01:13,2022-10-29 01:43
2303,2022-10-29 03:19,2022-10-29 04:22
2304,2022-10-29 04:44,2022-10-29 05:33
2305,2022-10-29 08:18,2022-10-29 09:13
2306,2022-10-29 09:55,2022-10-29 10:23
2307,2022-10-29 12:19,2022-10-29 13:23
2309,2022-10-29 13:56,2022-10-29 15:09
2310,2022-10-29 15:16,2022-10-29 15:30
2313,2022-10-29 22:09,2022-10-29 23:13
2314,2022-10-29 23:18,2022-10-30 00:14
2315,2022-10-30 00:22,2022-10-30 01:14
2316,2022-10-30 01:46,2022-10-30 02:38
2318,2022-10-30 03:11,2022-10-30 03:49
2319,2022-10-30 04:12,2022-10-30 05:04
2320,2022-10-30 05:41,2022-10-30 05:52
2321,2022-10-30 06:24,2022-10-30 07:19
2322,2022-10-30 07:28,2022-10-30 08:11
2323,2022-10-30 08:26,2022-10-30 09:10
2506,2022-11-11 09:02,2022-11-11 09:52
2507,2022-11-11 10:10,2022-11-11 11:05
2511,2022-11-11 11:38,2022-11-11 12:12
2512,2022-11-11 12:43,2022-11-11 13:11
2516,2022-11-12 03:15,2022-11-12 03:58
2517,2022-11-12 04:23,2022-11-12 05:09
2518,2022-11-12 05:47,2022-11-12 06:45
2519,2022-11-12 06:57,2022-11-12 07:57
2520,2022-11-12 08:00,2022-11-12 08:44
2521,2022-11-12 09:06,2022-11-12 09:38
2522,2022-11-12 10:17,2022-11-12 11:08
2523,2022-11-12 11:16,2022-11-12 11:25
2524,2022-11-12 11:40,2022-11-12 12:15
2525,2022-11-12 12:56,2022-11-12 13:35
2526,2022-11-12 13:56,2022-11-12 14:32
2527,2022-11-12 14:37,2022-11-12 15:21
2528,2022-11-12 15:56,2022-11-12 16:36
2529,2022-11-12 17:08,2022-11-12 17:40
2531,2022-11-12 18:07,2022-11-12 18:11
2535,2022-11-12 19:11,2022-11-12 19:48
2536,2022-11-12 20:06,2022-11-12 20:17
2537,2022-11-12 20:45,2022-11-12 21:26
2539,2022-11-12 22:15,2022-11-12 22:46
2540,2022-11-12 23:16,2022-11-12 23:45
2541,2022-11-13 00:23,2022-11-13 00:59
2542,2022-11-13 01:25,2022-11-13 02:00
2543,2022-11-13 02:30,2022-11-13 02:59
2544,2022-11-13 03:31,2022-11-13 04:12
2545,2022-11-13 08:37,2022-11-13 09:24
2551,2022-11-13 19:15,2022-11-13 19:39
2552,2022-11-13 20:17,2022-11-13 20:42
2553,2022-11-13 21:06,2022-11-13 21:37
2554,2022-11-13 22:07,2022-11-13 22:35
2555,2022-11-13 23:09,2022-11-13 23:36
2556,2022-11-14 00:15,2022-11-14 00:48
2557,2022-11-14 01:16,2022-11-14 01:47
2558,2022-11-14 02:26,2022-11-14 03:04
2559,2022-11-14 03:32,2022-11-14 03:53
2560,2022-11-14 04:59,2022-11-14 05:30
2561,2022-11-14 06:07,2022-11-14 06:34
2562,2022-11-14 07:08,2022-11-14 07:30
2563,2022-11-14 07:41,2022-11-14 07:50
2564,2022-11-14 08:03,2022-11-14 08:05
2565,2022-11-14 08:14,2022-11-14 08:21
2566,2022-11-14 08:25,2022-11-14 08:35
